Province,Bachelor,Senior_High,Junior_High,Primary,Latitude,Longitude
Beijing,41980,17593,23289,10503,39.937967,116.417592
Tianjin,26940,17719,32294,16123,39.107355,117.185182
Hebei,12418,13861,39950,24664,38.327924,115.282382
Shanxi,17358,16485,38950,19506,37.586939,112.248176
Inner Mongolia,18688,14814,33861,23627,44.570414,117.728454
Liaoning,18216,14670,42799,18888,41.397647,123.525354
Jilin,16738,17080,38234,22318,43.820559,126.535855
Heilongjiang,14793,15525,42793,21863,47.014329,128.42752
Shanghai,33872,19020,28935,11929,31.246027,121.483385
Jiangsu,18663,16191,33308,22742,33.668773,119.47881
Zhejiang,16990,14555,32706,26384,29.059828,119.902745
Anhui,13280,13294,33724,26875,31.783382,117.189163
Fujian,14148,14212,32218,28031,26.216565,117.974465
Jiangxi,11897,15145,35501,27514,27.804739,115.55544
Shandong,14384,14334,35778,23693,36.334087,117.756464
Henan,11744,15239,37518,24557,33.903296,113.660488
Hubei,15502,17428,34280,23520,30.996329,112.534671
Hunan,12239,17776,35636,25214,27.958307,111.659259
Guangdong,15699,18224,35484,20676,23.76822,112.80027
Guangxi,10806,12962,36388,27855,23.619883,108.846147
Hainan,13919,15561,40174,19701,19.182455,109.76199
Chongqing,15412,15956,30582,29894,29.565015,106.548238
Sichuan,13267,13301,31443,31317,30.738864,102.695767
Guizhou,10952,9951,30464,31921,26.34054,105.99283
Yunnan,11601,10338,29241,35667,24.282346,101.057809
Tibet,11019,7051,15757,32108,32.088933,86.448392
Shaanxi,18397,15581,33979,21686,34.040526,108.630496
Gansu,14506,12937,27423,29808,35.151482,104.145072
Qinghai,14880,10568,24344,32725,35.500098,94.679515
Ningxia,17340,13432,29717,26111,37.136541,105.912433
Xinjiang,16536,13208,31559,28405,41.394049,85.449236